"nct_id","title","subject","author","status","last_update","city","state","facility","study_url"
"NCT07006142","Effect of Prolonged Fasting Time on Gastric Residual Volume in Patients Taking GLP1 Receptor Agonists","Upper Endoscopy; GLP1-R-related Disease","Mayo Clinic","RECRUITING","2026-02-03","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07006142"
"NCT05411523","Assessing Effect of Spinal Cord Stimulation on Pain and Quality of Life With Chemotherapy-Induced Peripheral Neuropathy","Chemotherapy-Induced Peripheral Neuropathy; Hematopoietic and Lymphoid System Neoplasm; Malignant Solid Neoplasm","Mayo Clinic","RECRUITING","2026-02-02","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT05411523"
"NCT06263855","Effect of Large Language Model in Assisting Discharge Summary Notes Writing for Hospitalized Patients","Large Language Model","Mayo Clinic","WITHDRAWN","2026-01-30","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT06263855"
"NCT07379138","Studying Quality of Life Inclusive of Mental Health and Cognitive Behavioral Therapy for Cancer Distress for the Improvement of Quality of Life in Stage III-IV Melanoma Patients","Melanoma","Mayo Clinic","RECRUITING","2026-01-30","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07379138"
"NCT03866408","Insulin Regulation of Lipolysis and Lipolysis Proteins","Obesity","Mayo Clinic","RECRUITING","2026-01-28","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT03866408"
"NCT03021460","Pembrolizumab and Ibrutinib in Treating Patients With Stage III-IV Melanoma That Cannot Be Removed by Surgery","Metastatic Melanoma; Stage III Cutaneous Melanoma AJCC v7; Stage IIIA Cutaneous Melanoma AJCC v7; Stage IIIB Cutaneous Melanoma AJCC v7; Stage IIIC Cutaneous Melanoma AJCC v7; Stage IV Cutaneous Melanoma AJCC v6 and v7; Unresectable Melanoma","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-01-20","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT03021460"
"NCT05388058","Topical Cannabidiol for the Treatment of Chemotherapy-Induced Peripheral Neuropathy","Chemotherapy-Induced Peripheral Neuropathy; Malignant Solid Neoplasm","Mayo Clinic","COMPLETED","2026-01-16","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT05388058"
"NCT06361342","Smartphones Aggravating Anxiety Symptoms","Anxiety","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-01-14","Rochester","MN","Mayo Clinic Minnesota","https://clinicaltrials.gov/study/NCT06361342"
"NCT06720415","Oral and Intravenous Methadone for Analgesia in Cardiac Surgery","Anesthesia; Cardiac Surgery","Mayo Clinic","COMPLETED","2026-01-14","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06720415"
"NCT06065436","Concurrent Low Intensity Shockwave Therapy on Collagenase Clostridium Histolyticum for Peyronie's Disease","Peyronie Disease; Erectile Dysfunction","Mayo Clinic","RECRUITING","2026-01-07","Rochester","MN","Mayo Clinic Minnesota","https://clinicaltrials.gov/study/NCT06065436"
"NCT06851546","Efficacy of Selective Laser Trabeculoplasty Targeting Nasal Versus Inferior 180-degree","Open Angle Glaucoma","Mayo Clinic","COMPLETED","2026-01-07","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06851546"
"NCT07139951","Hyperthermic Intraperitoneal Chemotherapy With Cisplatin and Paclitaxel for the Treatment of Patients With Gastric and Gastroesophageal Junction Adenocarcinoma at High Risk of Peritoneal Recurrence","Clinical Stage I Gastric Cancer AJCC v8; Clinical Stage I Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage II Gastric Cancer AJCC v8; Clinical Stage II Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage III Gastric Cancer AJCC v8; Clinical Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8; Gastric Adenocarcinoma; Gastroesophageal Junction Adenocarcinoma","Mayo Clinic","ENROLLING_BY_INVITATION","2025-12-31","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07139951"
"NCT06339138","Identification of Novel High Quality Methylated DNA Markers in Renal Tumors: Whole Methylome Discovery, Tissue Validation, and Feasibility Testing In Blood and Urine, The INQUIRE Study","Chromophobe Renal Cell Carcinoma; Clear Cell Papillary Renal Tumor; Clear Cell Renal Cell Carcinoma; Kidney Oncocytoma; Papillary Renal Cell Carcinoma; Urothelial Carcinoma","Mayo Clinic","ACTIVE_NOT_RECRUITING","2025-12-24","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06339138"
